language,source,test,model,statistic,DstatUP,DstatLO,statMedian,DstatMedUP,DstatMedLO,sizeEffect,DsizeEffectUP,DsizeEffectLO,effMedian,DeffMedUP,DeffMedLO,cFruits,cFlowers,cInsects,cInstruments,cWeapons,cPleasant,cUnpleasant,EV,GH
de20,1,1,cc10017,0.00054801,0.62,0.64,0.395,0.53,0.39,0.000638705,0.69,0.65,0.42660114849999997,0.51,0.42,63417,32982,28635,99406,96536,4677065,1135746,26.21,0.79
de21,1,1,cc10017,0.939082824,0.65,0.68,0.395,0.53,0.39,0.86261037,0.48,0.61,0.42660114849999997,0.51,0.42,60939,32522,37317,96209,96468,2547751,1229622,26.21,0.79
de22,1,1,cc10017,0.637947243,0.48,0.5,0.395,0.53,0.39,0.874864961,0.48,0.72,0.42660114849999997,0.51,0.42,59200,38154,33041,97000,71372,3508639,663363,26.21,0.79
de23,1,1,cc10017,0.012810714,0.69,0.71,0.395,0.53,0.39,0.012675107,0.69,0.67,0.42660114849999997,0.51,0.42,58993,28808,44824,78001,141899,4895457,990179,26.21,0.79
de24,1,1,cc10017,0.414970953,0.59,0.59,0.395,0.53,0.39,0.49961287,0.62,0.69,0.42660114849999997,0.51,0.42,60315,32175,41212,103530,87896,2689585,944783,26.21,0.79
de25,1,1,cc10017,0.448451638,0.7,0.68,0.395,0.53,0.39,0.518214329,0.6,0.77,0.42660114849999997,0.51,0.42,57971,30517,49319,98668,491348,4622062,3351994,26.21,0.79
de26,1,1,cc10017,0.40243113,0.66,0.7,0.395,0.53,0.39,0.408419772,0.6,0.66,0.42660114849999997,0.51,0.42,58643,27699,42883,102423,75201,3873900,840597,26.21,0.79
de0,0,1,cc10017,0.72,0.54,0.54,0.72,0.54,0.54,1.01,0.40,0.79,1.01,0.40,0.79,-,38491,120649,106809,276667,2759722,734031,26.21,0.79
de1,1,1,cc10017Align,0.13721219,0.58,0.64,0.395,0.53,0.39,0.177639179,0.69,0.7,0.4266011255,0.51,0.42,61304,38051,47336,113959,105031,3136787,1162635,26.21,0.79
de2,1,1,cc10017Align,0.598068934,0.58,0.52,0.395,0.53,0.39,0.765935329,0.42,0.67,0.4266011255,0.51,0.42,55725,31342,32237,85403,163776,2318771,1020394,26.21,0.79
de3,1,1,cc10017Align,0.8405536,0.6,0.55,0.395,0.53,0.39,0.908585537,0.45,0.59,0.4266011255,0.51,0.42,58032,30125,38303,118878,120301,3780339,1278407,26.21,0.79
de4,1,1,cc10017Align,0.566160343,0.59,0.59,0.395,0.53,0.39,0.704642825,0.55,0.74,0.4266011255,0.51,0.42,55069,38132,23984,97110,67632,2653330,665858,26.21,0.79
de5,1,1,cc10017Align,0.389861091,0.52,0.51,0.395,0.53,0.39,0.553327952,0.53,0.73,0.4266011255,0.51,0.42,54907,33735,28533,79184,119029,2772311,1334627,26.21,0.79
de6,1,1,cc10017Align,0.52939753,0.58,0.59,0.395,0.53,0.39,0.94290452,0.47,1.04,0.4266011255,0.51,0.42,81303,29208,43867,118477,201174,1421304,2723164,26.21,0.79
de7,1,1,cc10017Align,0.114761728,0.41,0.43,0.395,0.53,0.39,0.21116724,0.61,0.7,0.4266011255,0.51,0.42,64443,46678,32462,96492,7268,3611016,6658628,26.21,0.79
de10,1,1,cc10017Align,-0.117731604,0.61,0.71,0.395,0.53,0.39,-0.148925413,0.81,0.68,0.4266011255,0.51,0.42,48468,27958,27581,73403,49645,775307,476402,26.21,0.79
de11,1,1,cc10017Align,0.120664528,0.57,0.54,0.395,0.53,0.39,0.15415652,0.62,0.64,0.4266011255,0.51,0.42,50777,33660,11305,99932,307355,2966813,193588,26.21,0.79
de12,1,1,cc10017Align,0.322687986,0.63,0.66,0.395,0.53,0.39,0.381631551,0.59,0.74,0.4266011255,0.51,0.42,58353,36498,32061,85614,122914,4842805,1047613,26.21,0.79
de13,1,1,cc10017Align,0.336639648,0.55,0.53,0.395,0.53,0.39,0.444782793,0.54,0.69,0.4266011255,0.51,0.42,59027,27296,23249,88607,98499,2308095,803411,26.21,0.79
de14,1,1,cc10017Align,0.212718132,0.61,0.65,0.395,0.53,0.39,0.232235433,0.63,0.65,0.4266011255,0.51,0.42,51544,28567,30638,81438,100045,4090330,942259,26.21,0.79
de15,1,1,cc10017Align,0.428558321,0.85,0.88,0.395,0.53,0.39,0.324379793,0.61,0.66,0.4266011255,0.51,0.42,59885,27551,22129,119564,198949,6032086,1027914,26.21,0.79
de16,1,1,cc10017Align,0.230096622,0.64,0.61,0.395,0.53,0.39,0.273355399,0.61,0.71,0.4266011255,0.51,0.42,41002,38028,31493,100419,75712,2357766,720298,26.21,0.79
de17,1,1,cc10017Align,0.695287592,0.66,0.6,0.395,0.53,0.39,0.775520479,0.47,0.68,0.4266011255,0.51,0.42,58250,30256,39773,99302,99011,3481659,1285607,26.21,0.79
de18,1,1,cc10017Align,1.068608483,0.87,0.88,0.395,0.53,0.39,1.120511821,0.4,0.91,0.4266011255,0.51,0.42,59265,29586,61859,103007,123139,3559074,768649,26.21,0.79
de19,1,1,cc10017Align,0.129781478,0.51,0.59,0.395,0.53,0.39,0.168133028,0.66,0.65,0.4266011255,0.51,0.42,48450,34635,28602,72544,91406,3557208,430797,26.21,0.79
de20,1,1,cc10017Align,0.00054764,0.62,0.64,0.395,0.53,0.39,0.000638274,0.69,0.65,0.4266011255,0.51,0.42,63417,32982,28635,99406,96536,4677065,1135746,26.21,0.79
de21,1,1,cc10017Align,0.939082797,0.65,0.68,0.395,0.53,0.39,0.862609934,0.48,0.61,0.4266011255,0.51,0.42,60939,32522,37317,96209,96468,2547751,1229622,26.21,0.79
de22,1,1,cc10017Align,0.637947318,0.48,0.5,0.395,0.53,0.39,0.874865029,0.48,0.72,0.4266011255,0.51,0.42,59200,38154,33041,97000,71372,3508639,663363,26.21,0.79
de23,1,1,cc10017Align,0.012810093,0.69,0.71,0.395,0.53,0.39,0.012674489,0.69,0.67,0.4266011255,0.51,0.42,58993,28808,44824,78001,141899,4895457,990179,26.21,0.79
de24,1,1,cc10017Align,0.4149707,0.59,0.59,0.395,0.53,0.39,0.499612366,0.62,0.69,0.4266011255,0.51,0.42,60315,32175,41212,103530,87896,2689585,944783,26.21,0.79
de25,1,1,cc10017Align,0.448451751,0.7,0.68,0.395,0.53,0.39,0.518214365,0.6,0.77,0.4266011255,0.51,0.42,57971,30517,49319,98668,491348,4622062,3351994,26.21,0.79
de26,1,1,cc10017Align,0.40243103,0.66,0.7,0.395,0.53,0.39,0.408419458,0.6,0.66,0.4266011255,0.51,0.42,58643,27699,42883,102423,75201,3873900,840597,26.21,0.79
de0,0,1,cc10017Align,0.72,0.54,0.54,0.72,0.54,0.54,1.01,0.40,0.79,1.01,0.40,0.79,-,38491,120649,106809,276667,2759722,734031,26.21,0.79
de1,1,1,cc10017vecmap,0.436100123,1.21,1.34,0.8200000000000001,1.15,0.88,0.254216373,0.72,0.7,0.376168962,0.46,0.41,61304,38051,47336,113959,105031,3136787,1162635,26.95,0.82
de2,1,1,cc10017vecmap,1.201524547,1.12,1.08,0.8200000000000001,1.15,0.88,0.732012891,0.44,0.67,0.376168962,0.46,0.41,55725,31342,32237,85403,163776,2318771,1020394,26.95,0.82
de3,1,1,cc10017vecmap,1.55313572,1.14,1.06,0.8200000000000001,1.15,0.88,0.855163259,0.5,0.6,0.376168962,0.46,0.41,58032,30125,38303,118878,120301,3780339,1278407,26.95,0.82
de4,1,1,cc10017vecmap,0.991924984,1.18,1.27,0.8200000000000001,1.15,0.88,0.563476933,0.63,0.71,0.376168962,0.46,0.41,55069,38132,23984,97110,67632,2653330,665858,26.95,0.82
